uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/regional-data/society/labour-market/active-population-small-areas-employed-unenployed,2013-05-08," Valor Absoluto: Número; Tasa de variación interanual, Tasa de variación trimestral: %.",http://www.icane.es,1T 2006,1T 2013,Encuesta de Población Activa (EPA). Instituto Cántabro de Estadística (ICANE),Trimestral,
http://www.icane.es/data/regional-data/society/labour-market/active-population-small-areas-activity-unemployment-rate,2013-05-08," Tasa de actividad, Tasa de paro: %.",http://www.icane.es,1T 2006,1T 2013,Encuesta de Población Activa (EPA). Instituto Cántabro de Estadística (ICANE),Trimestral,
http://www.icane.es/data/regional-data/society/labour-market/affiliated-high-labour-day-month-last-regime-sex,2013-05-21, .,http://www.seg-social.es/Internet_1/Estadistica/Est/AfiliacionAltaTrabajadores/AfiliacionesAltaLaboral/Afiliaci_n__ltimo_d_a_del_mes/index.htm,Enero 1999,Abril 2013,Afiliación a la Seguridad Social. Instituto Nacional de la Seguridad Social (INSS),Mensual,Regional
http://www.icane.es/data/regional-data/society/labour-market/ssa-employed-last-day-month-general-scheme-reta-activity-nace93,2009-04-14, .,http://www.seg-social.es/Internet_1/Estadistica/Est/AfiliacionAltaTrabajadores/AfiliacionesAltaLaboral/Afiliaci_n__ltimo_d_a_del_mes/index.htm,Enero 2006,Diciembre 2008,Afiliación a la Seguridad Social. Instituto Nacional de la Seguridad Social (INSS),Mensual,Regional
http://www.icane.es/data/regional-data/society/labour-market/ssa-employed-last-day-month-general-scheme-reta-activity-nace09,2013-05-21, .,http://www.seg-social.es/Internet_1/Estadistica/Est/AfiliacionAltaTrabajadores/AfiliacionesAltaLaboral/Afiliaci_n__ltimo_d_a_del_mes/index.htm,Enero 2009,Abril 2013,Afiliación a la Seguridad Social. Instituto Nacional de la Seguridad Social (INSS),Mensual,Regional
http://www.icane.es/data/regional-data/society/labour-market/average-monthly-labour-affiliates-regimen-high-sex,2013-05-06, .,http://www.seg-social.es/Internet_1/Estadistica/Est/AfiliacionAltaTrabajadores/AfiliacionesAltaLaboral/Afiliaci_n_Media_mensual/index.htm,Enero 2009,Abril 2013,Afiliación a la Seguridad Social. Instituto Nacional de la Seguridad Social (INSS),Mensual,Regional
http://www.icane.es/data/regional-data/society/labour-market/media-members-monthly-general-system-activity-challenges-section-cnae09,2013-05-06, .,http://www.seg-social.es/Internet_1/Estadistica/Est/AfiliacionAltaTrabajadores/AfiliacionesAltaLaboral/Afiliaci_n_Media_mensual/index.htm,Enero 2009,Abril 2013,Afiliación a la Seguridad Social. Instituto Nacional de la Seguridad Social (INSS),Mensual,Regional
http://www.icane.es/data/regional-data/society/labour-market/ssa-employed-foreigners-general-scheme-nace09,2013-05-21, .,http://www.seg-social.es/Internet_1/Estadistica/Est/AfiliacionAltaTrabajadores/AfiliacionesAltaLaboral/Afiliaci_n_Media_mensual/index.htm,Enero 2009,Abril 2013,Afiliación a la Seguridad Social. Gobierno de España. Ministerio de Empleo y Seguridad Social,Mensual,Regional
http://www.icane.es/data/regional-data/society/labour-market/foreign-affiliates-generally-high-labour-regime-nace-93,2012-01-19, .,http://www.seg-social.es/Internet_1/Estadistica/Est/AfiliacionAltaTrabajadores/AfiliacionesAltaLaboral/Afiliaci_n_Media_mensual/index.htm,Diciembre 2004,Diciembre 2008,Afiliación a la Seguridad Social. Gobierno de España. Ministerio de Empleo y Seguridad Social,Mensual,Regional
http://www.icane.es/data/regional-data/society/labour-market/high-foreign-affiliates-sex-work,2013-05-21, .,http://www.seg-social.es/Internet_1/Estadistica/Est/AfiliacionAltaTrabajadores/AfiliacionesAltaLaboral/Afiliaci_n_Media_mensual/index.htm,Enero 2005,Abril 2013,Afiliación a la Seguridad Social. Gobierno de España. Ministerio de Empleo y Seguridad Social,Mensual,Regional
