uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-expenditures-provincial-deputation-pesetas-1905-1916,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1905,1916,"Gastos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-expenditures-provincial-deputation-pesetas-1924-1958,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1924,1958,"Gastos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-expenditures-provincial-deputation-pesetas-1959-1981,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1959,1981,"Gastos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budget-expenditures-municipalities-pesetas-1857-1885,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1857,1885,"Gastos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budget-expenditures-municipalities-pesetas-1924-1935,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1924,1935,"Gastos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budget-expenditures-municipalities-pesetas-1942-1958,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1942,1958,"Gastos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budget-expenditures-municipalities-pesetas-1959-1978,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1959,1978,"Gastos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budget-expenditures-municipalities-pesetas-1985-2000,, Presupuesto: Pesetas.,,1985,2000,Gastos. Gobierno de España. Ministerio de Administraciones Públicas (MAP),Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/economic-budgets-expenditures-cantabria-pesetas-1982-2000,, Pesetas: Pesetas.,http://www.camaracantabria.com,1982,2000,"Gastos. Anuario económico de Cantabria. Informe económico de Cantabria. Cámara Oficial de Comercio, Industria y Navegación",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/central-administration-costs-income-millions-pesetas-1931-2000,," Ingresos brutos, Ingresos netos, Gasto, Gasto (11 meses): Millones de pesetas corrientes.",http://www.camaracantabria.com,1931,2000,"Presupuestos Ordinarios. Memorias. Cámara Oficial de Comercio, Industria y Navegación",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/central-administration-departments-spending-distribution-1945-2000,, Gasto: Porcentaje.,http://www.camaracantabria.com,1945,2000,"Presupuestos Ordinarios. Memorias. Cámara Oficial de Comercio, Industria y Navegación",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/provincial-administration-budgets-thousand-pesetas-1822-2000,," Ingresos, Gastos: Miles de pesetas corrientes.",http://www.camaracantabria.com,1820,2000,"Presupuestos Ordinarios. Memorias. Cámara Oficial de Comercio, Industria y Navegación",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/local-administration-incomes-expenditures-pesetas-1820-2000,," Ingresos, Gastos: Miles de pesetas corrientes.",http://www.camaracantabria.com,1820,2000,"Presupuestos Ordinarios. Memorias. Cámara Oficial de Comercio, Industria y Navegación",Anual,Regional
