uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/municipal-data/society/living-standards/gross-municipal-income-per-capita-estimated-1996-2004-euros,," Renta bruta, Renta Per Cápita: Euros.",http://www.unican.es,1996,2004,Renta municipal estimada. Universidad de Cantabria (UC),Irregular,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/gross-municipal-income-per-capita-estimated-2002-2008-euros,," Renta bruta, Renta Per Cápita: Euros.",http://www.unican.es,2002,2008,Renta municipal estimada. Universidad de Cantabria (UC),Irregular,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/municipal-income-indices-values-1996-2003,, .,http://www.unican.es,1996,2003,Renta municipal estimada. Universidad de Cantabria (UC),Irregular,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/municipal-income-indices-values-2004-2008,," Índice de Gini, Incidencia de la pobreza relativa intermunicipal: Índice; Media *10^4: Euros; Mediana *10^4: %Euros.",http://www.unican.es,2004,2008,Renta municipal estimada. Universidad de Cantabria (UC),Irregular,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-2001-civil-state,, Población: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-2001-birth-community,, Población: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-migrants-previous-residence-community,, Población: Nº de habitantes.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-2001-foreigners-large-age-group,, Población: Nº de habitantes.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-foreigners-quinquennial-age-group,, Poblacion: Nº de habitantes.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-foreigners-year-arrival-municipality,, Población: habitantes.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-migrants-nationality-birthplace,," Población migrante por nacionalidad, Población migrante por lugar de nacimiento: Nº de habitantes.",http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-migrants-large-age-group,, Poblacion migrante: Nº de habitantes.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-migrants-quinquennial-age-group,, Población migrante: Nº habitantes.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-real-estate-taxes-series,," Cuota Líquida, Cuota Integra: Miles de euros; Recibos: Unidades; Base Liquidable, Base Imponible: Euros.",http://www.catastro.meh.es,2006,2010,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-real-estate-tax-rustic,," Base imponible no exenta, Base imponible exenta: miles de euros, euros, euros, número, unidades, entidad.",http://www.catastro.meh.es,2004,2005,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
